PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,58,999,007,02,024,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,3,Por carro recolector,3 cuartos,Si,1,2,2 dormitorios,#NULL !,22015899900702,22015899900702024,220158999007020241,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,02,026,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,3,2 dormitorios,#NULL !,22015899900702,22015899900702026,220158999007020261,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,02,027,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,2,2 dormitorios,#NULL !,22015899900702,22015899900702027,220158999007020271,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,2 cuartos,Si,1,6,2 dormitorios,#NULL !,22015899900703,22015899900703001,220158999007030011,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,1,1 dormitorio,#NULL !,22015899900703,22015899900703005,220158999007030051,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,006,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,Por carro recolector,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015899900703,22015899900703006,220158999007030061,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,007,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,2,Por carro recolector,5 cuartos,Si,1,5,2 dormitorios,#NULL !,22015899900703,22015899900703007,220158999007030071,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,009,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Regular,Bueno,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,4,Por carro recolector,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015899900703,22015899900703009,220158999007030091,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,010,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,8,7,Por carro recolector,3 cuartos,Si,1,9,3 dormitorios,#NULL !,22015899900703,22015899900703010,220158999007030101,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,011,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,1 cuarto,Si,1,7,1 dormitorio,#NULL !,22015899900703,22015899900703011,220158999007030111,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,012,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,5,3 dormitorios,#NULL !,22015899900703,22015899900703012,220158999007030121,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,013,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,9,2 dormitorios,#NULL !,22015899900703,22015899900703013,220158999007030131,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,014,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La arrojan en terreno baldío o quebrada,5 cuartos,Si,1,12,5 dormitorios,#NULL !,22015899900703,22015899900703014,220158999007030141,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,015,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,5,1 dormitorio,#NULL !,22015899900703,22015899900703015,220158999007030151,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,016,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,1,1 dormitorio,#NULL !,22015899900703,22015899900703016,220158999007030161,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,018,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,5,1 dormitorio,#NULL !,22015899900703,22015899900703018,220158999007030181,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,019,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,1 cuarto,Si,1,11,1 dormitorio,#NULL !,22015899900703,22015899900703019,220158999007030191,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,023,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,2,Por carro recolector,3 cuartos,Si,1,6,3 dormitorios,#NULL !,22015899900703,22015899900703023,220158999007030231,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,025,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,2,Por carro recolector,3 cuartos,Si,1,8,3 dormitorios,#NULL !,22015899900703,22015899900703025,220158999007030251,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,026,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015899900703,22015899900703026,220158999007030261,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,027,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,5,Por carro recolector,3 cuartos,Si,1,5,2 dormitorios,#NULL !,22015899900703,22015899900703027,220158999007030271,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,03,028,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,5,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015899900703,22015899900703028,220158999007030281,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,001,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,9,3 dormitorios,#NULL !,22015899900704,22015899900704001,220158999007040011,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,002,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,4,1 dormitorio,#NULL !,22015899900704,22015899900704002,220158999007040021,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,003,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,8,2 dormitorios,#NULL !,22015899900704,22015899900704003,220158999007040031,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,004,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,10,2 dormitorios,#NULL !,22015899900704,22015899900704004,220158999007040041,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,9,2 dormitorios,#NULL !,22015899900704,22015899900704005,220158999007040051,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,006,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,No tiene,#NULL !,#NULL !,#NULL !,La entierran,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015899900704,22015899900704006,220158999007040061,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,007,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,7,2 dormitorios,#NULL !,22015899900704,22015899900704007,220158999007040071,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,008,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,7 cuartos,Si,1,8,1 dormitorio,#NULL !,22015899900704,22015899900704008,220158999007040081,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,009,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,10,1 dormitorio,#NULL !,22015899900704,22015899900704009,220158999007040091,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,010,1,Area rural,Choza,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Otros materiales,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,4,Sin dormitorio,#NULL !,22015899900704,22015899900704010,220158999007040101,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,007,04,011,1,Area rural,Choza,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Otros materiales,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,2,Sin dormitorio,#NULL !,22015899900704,22015899900704011,220158999007040111,ORELLANA,ORELLANA,LA BELLEZA,220158999007
Orellana,01,58,999,009,03,001,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,5 cuartos,Si,1,6,3 dormitorios,#NULL !,22015899900903,22015899900903001,220158999009030011,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,002,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,6,1 dormitorio,#NULL !,22015899900903,22015899900903002,220158999009030021,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015899900903,22015899900903003,220158999009030031,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,5,1 dormitorio,#NULL !,22015899900903,22015899900903005,220158999009030051,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,006,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",6 cuartos,Si,1,5,2 dormitorios,#NULL !,22015899900903,22015899900903006,220158999009030061,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,008,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015899900903,22015899900903008,220158999009030081,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,009,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",3 cuartos,Si,1,1,1 dormitorio,#NULL !,22015899900903,22015899900903009,220158999009030091,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,010,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,4 cuartos,Si,1,2,1 dormitorio,#NULL !,22015899900903,22015899900903010,220158999009030101,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,011,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",3 cuartos,Si,1,2,2 dormitorios,#NULL !,22015899900903,22015899900903011,220158999009030111,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,012,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1,4,1 dormitorio,#NULL !,22015899900903,22015899900903012,220158999009030121,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,013,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,1,1 dormitorio,#NULL !,22015899900903,22015899900903013,220158999009030131,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,014,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,5 cuartos,Si,1,10,4 dormitorios,#NULL !,22015899900903,22015899900903014,220158999009030141,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,015,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,4 cuartos,Si,1,5,2 dormitorios,#NULL !,22015899900903,22015899900903015,220158999009030151,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,03,016,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,6 cuartos,Si,1,8,3 dormitorios,#NULL !,22015899900903,22015899900903016,220158999009030161,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,04,001,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,4,1 dormitorio,#NULL !,22015899900904,22015899900904001,220158999009040011,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,009,04,002,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,5 cuartos,Si,1,1,1 dormitorio,#NULL !,22015899900904,22015899900904002,220158999009040021,ORELLANA,ORELLANA,LA BELLEZA,220158999009
Orellana,01,58,999,010,01,001,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,"La arrojan al río, acequia o canal",1 cuarto,Si,1,5,1 dormitorio,#NULL !,22015899901001,22015899901001001,220158999010010011,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,01,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,No tiene medidor,3,0,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015899901001,22015899901001002,220158999010010021,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,01,003,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal","Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,7,0,Por carro recolector,3 cuartos,Si,1,4,3 dormitorios,#NULL !,22015899901001,22015899901001003,220158999010010031,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,01,004,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,Por tubería dentro de la vivienda,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,1 cuarto,Si,1,7,1 dormitorio,#NULL !,22015899901001,22015899901001004,220158999010010041,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,01,005,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,7,3 dormitorios,#NULL !,22015899901001,22015899901001005,220158999010010051,ORELLANA,ORELLANA,LA BELLEZA,220158999010
